Macro, Name, Cluster
cluster_29_sector002_macro, Hatikvah's Choice III, Hatikvah's Choice
cluster_29_sector001_macro, Hatikvah's Choice I, Hatikvah's Choice
cluster_28_sector001_macro, Antigone Memorial, Antigone Memorial
cluster_32_sector002_macro, Tharka's Cascade XVII, Tharka's Cascade
cluster_32_sector001_macro, Tharka's Cascade XV, Tharka's Cascade
cluster_35_sector001_macro, Lasting Vengeance, Lasting Vengeance
cluster_414_sector001_macro, Rhy's Defiance, Rhy's Defiance
cluster_09_sector001_macro, Bright Promise, Bright Promise
cluster_401_sector001_macro, Family Zhin, Family Zhin
cluster_38_sector001_macro, Pious Mists XI, Pious Mists
cluster_47_sector001_macro, Trinity Sanctum VII, Trinity Sanctum
cluster_39_sector001_macro, Memory of Profit X, Memory of Profit
cluster_10_sector001_macro, Unholy Retribution, Unholy Retribution
cluster_36_sector001_macro, Cardinal's Redress, Cardinal's Redress
cluster_21_sector001_macro, Scale Plate Green I, Scale Plate Green
cluster_21_sector002_macro, Scale Plate Green VII, Scale Plate Green
cluster_45_sector001_macro, Silent Witness XII, Silent Witness
cluster_07_sector001_macro, The Reach, The Reach
cluster_06_sector001_macro, Black Hole Sun IV, Black Hole Sun
cluster_06_sector002_macro, Black Hole Sun V, Black Hole Sun
cluster_402_sector001_macro, Family Kritt, Family Kritt
cluster_04_sector001_macro, Nopileos' Fortune II, Nopileos' Fortune
cluster_04_sector002_macro, Nopileos' Fortune VI, Nopileos' Fortune
cluster_109_sector001_macro, Uranus, Sol
cluster_400_sector001_macro, Wretched Skies IV Family Valka, Wretched Skies
cluster_15_sector001_macro, Ianamus Zura IV, Ianamus Zura
cluster_15_sector002_macro, Ianamus Zura VII, Ianamus Zura
